Filename	Segment	WC	Dic	function	pronoun	ppron	i	we	you_total	you_sing	you_plur	you_formal	other	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate
Transcript1_Example_Word.docx	1	4	50,00	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	0,00
Transcript1_Example_Word.docx	2	3	33,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	3	5	100,00	40,00	20,00	20,00	0,00	0,00	20,00	20,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	0,00
Transcript1_Example_Word.docx	4	5	60,00	40,00	20,00	20,00	20,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	5	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	6	4	100,00	75,00	25,00	25,00	0,00	0,00	25,00	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	50,00	0,00
Transcript1_Example_Word.docx	7	4	50,00	50,00	25,00	25,00	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	8	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	9	1	100,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Transcript1_Example_Word.docx	10	4	50,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
